zip,wave,tests,cases,deaths,test_positivity
90620,First Wave,5547,603,3,0.10870740941049216
90620,Winter Wave,28656,3951,76,0.13787688442211055
90620,Delta Wave,17913,1468,10,0.08195165522246413
90620,Omicron Wave,14889,1654,6,0.11108872321848344
90621,First Wave,4221,561,5,0.13290689410092396
90621,Winter Wave,22490,3214,35,0.1429079590929302
90621,Delta Wave,12595,992,18,0.07876141325922985
90621,Omicron Wave,10417,1037,3,0.09954881443793799
90623,First Wave,1599,131,0,0.08192620387742339
90623,Winter Wave,8950,809,13,0.09039106145251397
90623,Delta Wave,6073,369,2,0.06076074427795159
90623,Omicron Wave,5607,580,5,0.10344212591403602
90630,First Wave,5268,408,8,0.0774487471526196
90630,Winter Wave,27151,2582,30,0.09509778645353763
90630,Delta Wave,18657,1547,22,0.08291793964731736
90630,Omicron Wave,15301,1505,7,0.09835958434089276
90631,First Wave,8452,1115,25,0.1319214387127307
90631,Winter Wave,36205,5507,109,0.1521060626985223
90631,Delta Wave,22493,2170,10,0.09647445872049082
90631,Omicron Wave,17368,2156,3,0.12413634269921694
90680,First Wave,3352,512,10,0.15274463007159905
90680,Winter Wave,17716,2817,45,0.15900880559945813
90680,Delta Wave,8380,774,5,0.09236276849642004
90680,Omicron Wave,6988,853,3,0.12206639954207213
90720,First Wave,2567,130,7,0.050642773665757694
90720,Winter Wave,12379,1053,31,0.08506341384602957
90720,Delta Wave,10769,761,2,0.07066579998142818
90720,Omicron Wave,7307,773,6,0.10578896948131929
90740,First Wave,2294,157,29,0.06843940714908457
90740,Winter Wave,12846,970,47,0.07550988634594426
90740,Delta Wave,9140,815,12,0.08916849015317287
90740,Omicron Wave,5977,598,8,0.10005019240421616
90742,First Wave,117,11,0,0.09401709401709402
90742,Winter Wave,361,27,0,0.07479224376731301
90742,Delta Wave,231,24,0,0.1038961038961039
90742,Omicron Wave,211,39,0,0.1848341232227488
92602,First Wave,1954,124,1,0.06345957011258956
92602,Winter Wave,12026,950,2,0.07899550972892067
92602,Delta Wave,9975,547,0,0.05483709273182957
92602,Omicron Wave,8759,906,2,0.10343646534992579
92603,First Wave,1414,80,0,0.056577086280056574
92603,Winter Wave,7840,546,5,0.06964285714285715
92603,Delta Wave,6644,269,2,0.04048765803732691
92603,Omicron Wave,5811,560,0,0.09636895542935811
92604,First Wave,2088,125,2,0.05986590038314176
92604,Winter Wave,13289,1057,19,0.07953946873353902
92604,Delta Wave,9069,648,6,0.07145219980152166
92604,Omicron Wave,8895,837,3,0.09409780775716695
92606,First Wave,1899,144,1,0.07582938388625593
92606,Winter Wave,10331,924,4,0.08943955086632466
92606,Delta Wave,9468,520,0,0.05492184199408534
92606,Omicron Wave,7914,778,0,0.09830679807935304
92610,First Wave,836,49,0,0.05861244019138756
92610,Winter Wave,4274,371,3,0.0868039307440337
92610,Delta Wave,3618,226,0,0.06246545052515202
92610,Omicron Wave,3195,330,2,0.10328638497652583
92612,First Wave,2381,160,3,0.06719865602687947
92612,Winter Wave,19604,1205,20,0.0614670475413181
92612,Delta Wave,11812,806,4,0.06823569251608534
92612,Omicron Wave,11779,1176,0,0.09983869598437899
92614,First Wave,2306,171,0,0.07415437987857762
92614,Winter Wave,13685,1138,2,0.08315674095725246
92614,Delta Wave,10959,781,4,0.07126562642576878
92614,Omicron Wave,10783,1209,0,0.11212093109524252
92617,First Wave,484,12,0,0.024793388429752067
92617,Winter Wave,9364,279,2,0.02979495941905169
92617,Delta Wave,3158,104,0,0.032932235592146926
92617,Omicron Wave,7507,517,0,0.06886905554815506
92618,First Wave,3617,232,0,0.06414155377384573
92618,Winter Wave,23443,1921,5,0.08194343727338652
92618,Delta Wave,23699,1150,0,0.048525254230136296
92618,Omicron Wave,19092,1973,1,0.10334171380683009
92620,First Wave,3591,172,1,0.047897521581732105
92620,Winter Wave,23902,1885,13,0.078863693414777
92620,Delta Wave,20794,978,2,0.04703279792247764
92620,Omicron Wave,18311,1597,1,0.08721533504450876
92624,First Wave,876,66,0,0.07534246575342465
92624,Winter Wave,2866,382,19,0.1332868108862526
92624,Delta Wave,2365,251,6,0.10613107822410148
92624,Omicron Wave,1586,162,2,0.1021437578814628
92625,First Wave,952,79,1,0.08298319327731092
92625,Winter Wave,4418,261,2,0.05907650520597556
92625,Delta Wave,2883,203,0,0.07041276448144294
92625,Omicron Wave,2372,289,4,0.1218381112984823
92626,First Wave,6981,615,8,0.08809626128061883
92626,Winter Wave,35893,3363,25,0.0936951494720419
92626,Delta Wave,18045,1642,6,0.09099473538376282
92626,Omicron Wave,15331,3152,4,0.20559650381579805
92627,First Wave,6112,868,12,0.14201570680628273
92627,Winter Wave,32096,4410,70,0.13740029910269191
92627,Delta Wave,16508,1774,6,0.10746304821904532
92627,Omicron Wave,13092,2004,5,0.15307057745187902
92629,First Wave,1938,139,1,0.0717234262125903
92629,Winter Wave,8752,922,5,0.10534734917733089
92629,Delta Wave,7490,726,2,0.09692923898531375
92629,Omicron Wave,5030,693,3,0.13777335984095426
92630,First Wave,6133,713,4,0.11625631827816729
92630,Winter Wave,28191,3279,37,0.11631371714376929
92630,Delta Wave,18118,1613,6,0.08902748647753615
92630,Omicron Wave,14818,1762,8,0.11890943447158861
92637,First Wave,1628,45,5,0.02764127764127764
92637,Winter Wave,6415,440,37,0.06858924395947
92637,Delta Wave,5207,209,2,0.04013827539850202
92637,Omicron Wave,3227,160,6,0.04958165478772854
92646,First Wave,4826,365,1,0.0756319933692499
92646,Winter Wave,22487,2381,20,0.10588339929737181
92646,Delta Wave,15066,1378,8,0.09146422408071153
92646,Omicron Wave,12262,1579,7,0.12877181536454085
92647,First Wave,5265,647,11,0.12288698955365622
92647,Winter Wave,26575,3269,38,0.12301034807149577
92647,Delta Wave,17495,1876,4,0.10723063732494999
92647,Omicron Wave,13940,1722,8,0.12352941176470589
92648,First Wave,4630,465,11,0.10043196544276457
92648,Winter Wave,21607,1981,44,0.09168325079835239
92648,Delta Wave,13785,1489,8,0.10801595937613348
92648,Omicron Wave,10590,1429,11,0.13493862134088763
92649,First Wave,3873,286,1,0.07384456493674155
92649,Winter Wave,13216,1257,16,0.09511198547215496
92649,Delta Wave,9660,1073,16,0.11107660455486543
