date,name,value
2020-03-21,test_positivity,0.11020232458028412
2020-03-21,deaths,1
2020-03-21,cases,256
2020-03-21,tests,2323
2020-03-28,test_positivity,0.1458896179081436
2020-03-28,deaths,6
2020-03-28,cases,378
2020-03-28,tests,2591
2020-04-04,test_positivity,0.12275280898876405
2020-04-04,deaths,9
2020-04-04,cases,437
2020-04-04,tests,3560
2020-04-11,test_positivity,0.11788728559760414
2020-04-11,deaths,7
2020-04-11,cases,433
2020-04-11,tests,3673
2020-04-18,test_positivity,0.1040339702760085
2020-04-18,deaths,13
2020-04-18,cases,490
2020-04-18,tests,4710
2020-04-25,test_positivity,0.09143535698382069
2020-04-25,deaths,12
2020-04-25,cases,616
2020-04-25,tests,6737
2020-05-02,test_positivity,0.0925591656638588
2020-05-02,deaths,25
2020-05-02,cases,923
2020-05-02,tests,9972
2020-05-09,test_positivity,0.09815787131796742
2020-05-09,deaths,32
2020-05-09,cases,1103
2020-05-09,tests,11237
2020-05-16,test_positivity,0.07463884430176565
2020-05-16,deaths,20
2020-05-16,cases,1023
2020-05-16,tests,13706
2020-05-23,test_positivity,0.07840544114868694
2020-05-23,deaths,46
2020-05-23,cases,1245
2020-05-23,tests,15879
2020-05-30,test_positivity,0.07780065668651566
2020-05-30,deaths,41
2020-05-30,cases,1398
2020-05-30,tests,17969
2020-06-06,test_positivity,0.07516510666603317
2020-06-06,deaths,47
2020-06-06,cases,1582
2020-06-06,tests,21047
2020-06-13,test_positivity,0.08178646797881045
2020-06-13,deaths,59
2020-06-13,cases,1899
2020-06-13,tests,23219
2020-06-20,test_positivity,0.12640488901376792
2020-06-20,deaths,47
2020-06-20,cases,3599
2020-06-20,tests,28472
2020-06-27,test_positivity,0.162146816276869
2020-06-27,deaths,62
2020-06-27,cases,5997
2020-06-27,tests,36985
2020-07-04,test_positivity,0.16724603020106232
2020-07-04,deaths,77
2020-07-04,cases,6014
2020-07-04,tests,35959
2020-07-11,test_positivity,0.15653591590422425
2020-07-11,deaths,85
2020-07-11,cases,6433
2020-07-11,tests,41096
2020-07-18,test_positivity,0.13172252533125486
2020-07-18,deaths,80
2020-07-18,cases,5408
2020-07-18,tests,41056
2020-07-25,test_positivity,0.10479558140214501
2020-07-25,deaths,90
2020-07-25,cases,3586
2020-07-25,tests,34219
2020-08-01,test_positivity,0.09436878714388508
2020-08-01,deaths,95
2020-08-01,cases,3541
2020-08-01,tests,37523
2020-08-08,test_positivity,0.07461688641651734
2020-08-08,deaths,99
2020-08-08,cases,2790
2020-08-08,tests,37391
2020-08-15,test_positivity,0.0645457045933804
2020-08-15,deaths,99
2020-08-15,cases,2112
2020-08-15,tests,32721
2020-08-22,test_positivity,0.05736884887138123
2020-08-22,deaths,75
2020-08-22,cases,1835
2020-08-22,tests,31986
2020-08-29,test_positivity,0.048851576112783145
2020-08-29,deaths,59
2020-08-29,cases,1542
2020-08-29,tests,31565
2020-09-05,test_positivity,0.04788350392302476
2020-09-05,deaths,50
2020-09-05,cases,1483
2020-09-05,tests,30971
2020-09-12,test_positivity,0.041261203585147246
2020-09-12,deaths,35
2020-09-12,cases,1289
2020-09-12,tests,31240
2020-09-19,test_positivity,0.03961138098542679
2020-09-19,deaths,54
2020-09-19,cases,1427
2020-09-19,tests,36025
2020-09-26,test_positivity,0.04379447055425736
2020-09-26,deaths,44
2020-09-26,cases,1668
2020-09-26,tests,38087
2020-10-03,test_positivity,0.04043735254572668
2020-10-03,deaths,47
2020-10-03,cases,1594
2020-10-03,tests,39419
2020-10-10,test_positivity,0.03673414365633917
2020-10-10,deaths,34
2020-10-10,cases,1635
2020-10-10,tests,44509
2020-10-17,test_positivity,0.03858939802336029
2020-10-17,deaths,20
2020-10-17,cases,1718
2020-10-17,tests,44520
2020-10-24,test_positivity,0.04069927405871024
2020-10-24,deaths,28
2020-10-24,cases,1923
2020-10-24,tests,47249
2020-10-31,test_positivity,0.039580783025148725
2020-10-31,deaths,19
2020-10-31,cases,1843
2020-10-31,tests,46563
2020-11-07,test_positivity,0.052508990627387404
2020-11-07,deaths,16
2020-11-07,cases,2818
2020-11-07,tests,53667
2020-11-14,test_positivity,0.06530973741614866
2020-11-14,deaths,32
2020-11-14,cases,3982
2020-11-14,tests,60971
2020-11-21,test_positivity,0.08639893187168406
2020-11-21,deaths,50
2020-11-21,cases,7377
2020-11-21,tests,85383
2020-11-28,test_positivity,0.11381212517864536
2020-11-28,deaths,46
2020-11-28,cases,8521
2020-11-28,tests,74869
2020-12-05,test_positivity,0.14418167285721004
2020-12-05,deaths,74
2020-12-05,cases,15333
2020-12-05,tests,106345
2020-12-12,test_positivity,0.16680140123955808
2020-12-12,deaths,121
2020-12-12,cases,20427
2020-12-12,tests,122463
2020-12-19,test_positivity,0.1805070881400917
2020-12-19,deaths,219
2020-12-19,cases,25708
2020-12-19,tests,142421
2020-12-26,test_positivity,0.1806142858447572
2020-12-26,deaths,315
2020-12-26,cases,19776
2020-12-26,tests,109493
2021-01-02,test_positivity,0.2036867980468848
2021-01-02,deaths,399
2021-01-02,cases,24320
2021-01-02,tests,119399
2021-01-09,test_positivity,0.17615371508709385
2021-01-09,deaths,410
2021-01-09,cases,26880
2021-01-09,tests,152594
2021-01-16,test_positivity,0.13652256150859043
2021-01-16,deaths,376
2021-01-16,cases,19055
2021-01-16,tests,139574
2021-01-23,test_positivity,0.11883266674411272
2021-01-23,deaths,357
2021-01-23,cases,14321
2021-01-23,tests,120514
2021-01-30,test_positivity,0.10129246144236775
2021-01-30,deaths,269
2021-01-30,cases,10541
2021-01-30,tests,104065
2021-02-06,test_positivity,0.08636014728949505
2021-02-06,deaths,235
2021-02-06,cases,7763
2021-02-06,tests,89891
2021-02-13,test_positivity,0.05984784229059038
2021-02-13,deaths,174
2021-02-13,cases,4657
2021-02-13,tests,77814
2021-02-20,test_positivity,0.04344685397823895
2021-02-20,deaths,123
2021-02-20,cases,2887
2021-02-20,tests,66449
2021-02-27,test_positivity,0.034584136819144566
2021-02-27,deaths,97
2021-02-27,cases,2188
2021-02-27,tests,63266
2021-03-06,test_positivity,0.024838874353902113
2021-03-06,deaths,93
2021-03-06,cases,1557
2021-03-06,tests,62684
2021-03-13,test_positivity,0.024024799793335057
2021-03-13,deaths,49
2021-03-13,cases,1395
2021-03-13,tests,58065
2021-03-20,test_positivity,0.018809754177667722
2021-03-20,deaths,32
2021-03-20,cases,1147
2021-03-20,tests,60979
2021-03-27,test_positivity,0.01751050630378227
2021-03-27,deaths,28
2021-03-27,cases,1050
2021-03-27,tests,59964
2021-04-03,test_positivity,0.017930774890071347
2021-04-03,deaths,14
2021-04-03,cases,1048
2021-04-03,tests,58447
2021-04-10,test_positivity,0.015752326484735284
2021-04-10,deaths,15
2021-04-10,cases,953
2021-04-10,tests,60499
2021-04-17,test_positivity,0.015764119601328903
2021-04-17,deaths,14
2021-04-17,cases,949
2021-04-17,tests,60200
2021-04-24,test_positivity,0.013905147032740945
2021-04-24,deaths,12
2021-04-24,cases,784
2021-04-24,tests,56382
2021-05-01,test_positivity,0.011480048714091267
2021-05-01,deaths,2
2021-05-01,cases,641
2021-05-01,tests,55836
2021-05-08,test_positivity,0.009949063725310564
2021-05-08,deaths,4
2021-05-08,cases,543
2021-05-08,tests,54578
2021-05-15,test_positivity,0.008921130388665807
2021-05-15,deaths,8
2021-05-15,cases,471
2021-05-15,tests,52796
2021-05-22,test_positivity,0.006927097546128172
2021-05-22,deaths,5
2021-05-22,cases,330
2021-05-22,tests,47639
2021-05-29,test_positivity,0.007466297960594538
2021-05-29,deaths,9
2021-05-29,cases,324
2021-05-29,tests,43395
2021-06-05,test_positivity,0.008430740911182696
2021-06-05,deaths,2
2021-06-05,cases,458
2021-06-05,tests,54325
2021-06-12,test_positivity,0.009916401413130925
2021-06-12,deaths,5
2021-06-12,cases,567
2021-06-12,tests,57178
2021-06-19,test_positivity,0.012583091470836064
2021-06-19,deaths,6
2021-06-19,cases,672
2021-06-19,tests,53405
2021-06-26,test_positivity,0.016968998587465617
2021-06-26,deaths,10
2021-06-26,cases,913
2021-06-26,tests,53804
2021-07-03,test_positivity,0.025877579820074086
2021-07-03,deaths,7
2021-07-03,cases,1467
2021-07-03,tests,56690
2021-07-10,test_positivity,0.04914807457212714
2021-07-10,deaths,4
2021-07-10,cases,2573
2021-07-10,tests,52352
2021-07-17,test_positivity,0.07246257472703019
2021-07-17,deaths,10
2021-07-17,cases,4400
2021-07-17,tests,60721
2021-07-24,test_positivity,0.10121335236631163
2021-07-24,deaths,20
2021-07-24,cases,7374
2021-07-24,tests,72856
2021-07-31,test_positivity,0.1215870732112224
2021-07-31,deaths,24
2021-07-31,cases,10986
2021-07-31,tests,90355
2021-08-07,test_positivity,0.11992594075260209
2021-08-07,deaths,37
2021-08-07,cases,11983
2021-08-07,tests,99920
2021-08-14,test_positivity,0.11440826413415016
2021-08-14,deaths,82
2021-08-14,cases,12083
2021-08-14,tests,105613
2021-08-21,test_positivity,0.09799980485901064
2021-08-21,deaths,105
2021-08-21,cases,10044
2021-08-21,tests,102490
2021-08-28,test_positivity,0.07912003087610961
2021-08-28,deaths,99
2021-08-28,cases,8815
2021-08-28,tests,111413
2021-09-04,test_positivity,0.06520328459843781
2021-09-04,deaths,100
2021-09-04,cases,8139
2021-09-04,tests,124825
2021-09-11,test_positivity,0.052137447045230864
2021-09-11,deaths,101
2021-09-11,cases,6092
2021-09-11,tests,116845
2021-09-18,test_positivity,0.047460826294155725
2021-09-18,deaths,90
2021-09-18,cases,6085
2021-09-18,tests,128211
2021-09-25,test_positivity,0.04128236379208117
2021-09-25,deaths,70
2021-09-25,cases,5013
2021-09-25,tests,121432
2021-10-02,test_positivity,0.03675236712371645
2021-10-02,deaths,104
2021-10-02,cases,4227
2021-10-02,tests,115013
2021-10-09,test_positivity,0.03522770496905149
2021-10-09,deaths,65
2021-10-09,cases,4075
2021-10-09,tests,115676
2021-10-16,test_positivity,0.03362192975402293
2021-10-16,deaths,63
2021-10-16,cases,3763
2021-10-16,tests,111921
2021-10-23,test_positivity,0.035464799291215154
2021-10-23,deaths,54
2021-10-23,cases,4163
2021-10-23,tests,117384
2021-10-30,test_positivity,0.0425531914893617
2021-10-30,deaths,50
2021-10-30,cases,4884
2021-10-30,tests,114774
2021-11-06,test_positivity,0.04036272968903006
2021-11-06,deaths,46
2021-11-06,cases,4905
2021-11-06,tests,121523
2021-11-13,test_positivity,0.03890531053709986
2021-11-13,deaths,79
2021-11-13,cases,4633
2021-11-13,tests,119084
2021-11-20,test_positivity,0.03370804889016065
2021-11-20,deaths,60
2021-11-20,cases,4123
2021-11-20,tests,122315
2021-11-27,test_positivity,0.046013382527671814
2021-11-27,deaths,30
2021-11-27,cases,3679
2021-11-27,tests,79955
2021-12-04,test_positivity,0.042826535840151524
2021-12-04,deaths,39
2021-12-04,cases,5517
2021-12-04,tests,128822
2021-12-11,test_positivity,0.04195820273283929
2021-12-11,deaths,41
2021-12-11,cases,5475
2021-12-11,tests,130487
2021-12-18,test_positivity,0.05626180938704557
2021-12-18,deaths,56
2021-12-18,cases,7444
2021-12-18,tests,132310
2021-12-25,test_positivity,0.15743376989614685
2021-12-25,deaths,52
2021-12-25,cases,23224
2021-12-25,tests,147516
2022-01-01,test_positivity,0.2496882632879233
2022-01-01,deaths,50
2022-01-01,cases,53464
2022-01-01,tests,214123
2022-01-08,test_positivity,0.06149491627267121
2022-01-08,deaths,107
2022-01-08,cases,11667
2022-01-08,tests,189723
2022-01-15,test_positivity,0.032688451102984545
2022-01-15,deaths,128
2022-01-15,cases,5542
2022-01-15,tests,169540
2022-01-22,test_positivity,0.022841712447981204
2022-01-22,deaths,158
2022-01-22,cases,3189
2022-01-22,tests,139613
2022-01-29,test_positivity,0.014123808354813633
2022-01-29,deaths,153
2022-01-29,cases,1726
2022-01-29,tests,122205
2022-01-31,test_positivity,0.011847463902258423
2022-01-31,deaths,42
2022-01-31,cases,320
2022-01-31,tests,27010
