week,start_date,end_date,zip,tests,cases,deaths
1,2020-03-15,2020-03-21,90620,31,10,0
1,2020-03-15,2020-03-21,90621,11,2,0
1,2020-03-15,2020-03-21,90623,4,1,0
1,2020-03-15,2020-03-21,90630,20,2,0
1,2020-03-15,2020-03-21,90631,42,5,0
1,2020-03-15,2020-03-21,90680,5,0,0
1,2020-03-15,2020-03-21,90720,14,0,0
1,2020-03-15,2020-03-21,90740,17,1,0
1,2020-03-15,2020-03-21,90742,1,0,0
1,2020-03-15,2020-03-21,92602,20,2,0
1,2020-03-15,2020-03-21,92603,25,3,0
1,2020-03-15,2020-03-21,92604,16,2,0
1,2020-03-15,2020-03-21,92606,19,1,0
1,2020-03-15,2020-03-21,92610,16,1,0
1,2020-03-15,2020-03-21,92612,25,7,0
1,2020-03-15,2020-03-21,92614,17,5,0
1,2020-03-15,2020-03-21,92617,6,2,0
1,2020-03-15,2020-03-21,92618,46,4,0
1,2020-03-15,2020-03-21,92620,40,3,0
1,2020-03-15,2020-03-21,92624,18,2,0
1,2020-03-15,2020-03-21,92625,13,4,0
1,2020-03-15,2020-03-21,92626,49,5,0
1,2020-03-15,2020-03-21,92627,50,4,0
1,2020-03-15,2020-03-21,92629,42,6,0
1,2020-03-15,2020-03-21,92630,55,3,0
1,2020-03-15,2020-03-21,92637,18,1,0
1,2020-03-15,2020-03-21,92646,60,1,0
1,2020-03-15,2020-03-21,92647,33,9,0
1,2020-03-15,2020-03-21,92648,42,2,0
1,2020-03-15,2020-03-21,92649,32,1,0
1,2020-03-15,2020-03-21,92651,76,15,0
1,2020-03-15,2020-03-21,92653,25,0,0
1,2020-03-15,2020-03-21,92655,5,0,0
1,2020-03-15,2020-03-21,92656,56,3,0
1,2020-03-15,2020-03-21,92657,23,8,0
1,2020-03-15,2020-03-21,92660,51,15,0
1,2020-03-15,2020-03-21,92661,9,1,0
1,2020-03-15,2020-03-21,92662,2,0,0
1,2020-03-15,2020-03-21,92663,30,6,0
1,2020-03-15,2020-03-21,92672,59,5,0
1,2020-03-15,2020-03-21,92673,49,7,0
1,2020-03-15,2020-03-21,92675,49,2,0
1,2020-03-15,2020-03-21,92677,97,6,0
1,2020-03-15,2020-03-21,92679,38,5,0
1,2020-03-15,2020-03-21,92683,40,1,0
1,2020-03-15,2020-03-21,92688,39,4,0
1,2020-03-15,2020-03-21,92691,56,4,0
1,2020-03-15,2020-03-21,92692,56,5,0
1,2020-03-15,2020-03-21,92694,43,4,0
1,2020-03-15,2020-03-21,92701,14,0,0
1,2020-03-15,2020-03-21,92703,26,0,0
1,2020-03-15,2020-03-21,92704,19,1,0
1,2020-03-15,2020-03-21,92705,31,6,0
1,2020-03-15,2020-03-21,92706,17,0,0
1,2020-03-15,2020-03-21,92707,18,1,0
